fdc_id,food_name,description,calories,protein_g,fat_g,carbs_g,sugar_g,fiber_g,sodium_mg,potassium_mg,phosphorus_mg,canonical_name,gi_value,gi_category,gi_match_type
171641,cereals ready-to-eat,"cereals ready-to-eat, post, alpha-bits",389.0,10.0,4.6,80.3,21.0,7.1,592.0,267.0,309.0,cereals ready-to-eat,,unknown,unmatched
171642,cereals ready-to-eat,"cereals ready-to-eat, quaker, cap'n crunch",398.0,4.39,5.12,85.51,44.32,2.5,754.0,186.0,167.0,cereals ready-to-eat,,unknown,unmatched
171643,cereals ready-to-eat,"cereals ready-to-eat, quaker, cap'n crunch with crunchberries",397.0,4.45,4.83,85.93,44.2,2.6,725.0,187.0,168.0,cereals ready-to-eat,,unknown,unmatched
171644,cereals ready-to-eat,"cereals ready-to-eat, quaker, cap'n crunch's peanut butter crunch",417.0,7.1,9.23,78.65,33.36,2.7,742.0,236.0,194.0,cereals ready-to-eat,,unknown,unmatched
171645,cereals ready-to-eat,"cereals ready-to-eat, post, fruity pebbles",402.0,4.62,4.02,86.1,34.28,0.8,531.0,72.0,71.0,cereals ready-to-eat,,unknown,unmatched
171646,cereals ready-to-eat,"cereals ready-to-eat, granola, homemade",489.0,13.67,24.31,53.88,19.8,8.9,26.0,539.0,431.0,cereals ready-to-eat,,unknown,unmatched
171647,cereals ready-to-eat,"cereals ready-to-eat, post, grape-nuts cereal",361.0,11.22,1.81,80.49,8.86,13.0,465.0,400.0,467.0,cereals ready-to-eat,,unknown,unmatched
171648,cereals ready-to-eat,"cereals ready-to-eat, post, grape-nuts flakes",376.0,9.4,3.7,82.0,15.2,10.2,470.0,336.0,280.0,cereals ready-to-eat,,unknown,unmatched
171649,cereals ready-to-eat,"cereals ready-to-eat, quaker, sweet crunch/quisp",406.0,4.51,6.08,85.03,43.36,2.3,740.0,187.0,168.0,cereals ready-to-eat,,unknown,unmatched
171650,cereals ready-to-eat,"cereals ready-to-eat, post raisin bran cereal",324.0,7.6,1.6,78.9,32.9,13.7,382.0,525.0,339.0,cereals ready-to-eat,,unknown,unmatched
171651,cereals ready-to-eat,"cereals ready-to-eat, quaker, quaker puffed rice",383.0,7.01,0.9,87.78,0.0,1.4,5.0,116.0,118.0,cereals ready-to-eat,,unknown,unmatched
171652,cereals ready-to-eat,"cereals ready-to-eat, post, golden crisp",380.0,5.5,1.7,90.1,53.6,5.0,95.0,176.0,227.0,cereals ready-to-eat,,unknown,unmatched
171653,cereals ready-to-eat,"cereals ready-to-eat, sun country, kretschmer honey crunch wheat germ",372.0,26.55,7.78,58.11,21.43,10.2,11.0,964.0,1011.0,cereals ready-to-eat,,unknown,unmatched
171654,cereals,"cereals, corn grits, white, regular and quick, enriched, dry",370.0,7.65,1.75,79.09,0.57,4.6,1.0,141.0,111.0,cereals,,unknown,unmatched
171655,cereals,"cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt",71.0,1.71,0.46,14.76,0.12,0.8,2.0,27.0,20.0,cereals,,unknown,unmatched
171656,cereals,"cereals, quaker, corn grits, instant, plain, dry",343.0,7.31,2.14,78.42,1.51,4.2,1121.0,135.0,72.0,cereals,,unknown,unmatched
171657,cereals,"cereals, cream of wheat, regular (10 minute), cooked with water, without salt",50.0,1.44,0.21,10.52,0.03,0.5,6.0,16.0,15.0,cereals,,unknown,unmatched
171658,cereals,"cereals, farina, enriched, assorted brands including cream of wheat, quick (1-3 minutes), dry",360.0,11.6,1.41,73.19,0.56,4.2,124.0,153.0,252.0,cereals,,unknown,unmatched
171659,cereals,"cereals, farina, enriched, assorted brands including cream of wheat, quick (1-3 minutes), cooked with water, without salt",55.0,1.82,0.34,10.92,0.76,0.8,18.0,23.0,37.0,cereals,,unknown,unmatched
171660,cereals,"cereals, cream of wheat, instant, dry",366.0,10.6,1.4,75.5,0.4,3.3,571.0,115.0,103.0,cereals,,unknown,unmatched
171661,cereals,"cereals, oats, instant, fortified, plain, dry",362.0,11.92,6.9,69.52,1.5,10.0,220.0,366.0,423.0,cereals,,unknown,unmatched
171662,cereals,"cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)",68.0,2.37,1.36,11.67,0.46,1.7,49.0,61.0,77.0,cereals,,unknown,unmatched
171663,cereals,"cereals, quaker, instant oatmeal, apples and cinnamon, dry",366.0,8.62,4.61,76.74,28.87,8.3,454.0,327.0,294.0,cereals,,unknown,unmatched
171664,cereals,"cereals, oats, instant, fortified, with cinnamon and spice, dry",369.0,9.53,4.84,76.08,25.33,8.0,434.0,284.0,322.0,cereals,,unknown,unmatched
171665,cereals,"cereals, wheatena, dry",357.0,13.1,2.9,75.6,1.6,12.8,13.0,492.0,384.0,cereals,,unknown,unmatched
171666,cereals,"cereals, wheatena, cooked with water",56.0,2.0,0.5,11.8,0.0,2.7,2.0,77.0,60.0,cereals,,unknown,unmatched
171667,cereals,"cereals, whole wheat hot natural cereal, dry",342.0,11.2,2.0,75.2,0.42,9.5,2.0,389.0,379.0,cereals,,unknown,unmatched
171668,cereals,"cereals, whole wheat hot natural cereal, cooked with water, without salt",62.0,2.0,0.4,13.7,0.08,1.6,0.0,71.0,69.0,cereals,,unknown,unmatched
171669,cereals ready-to-eat,"cereals ready-to-eat, quaker, quaker puffed wheat",366.0,16.26,2.15,76.39,1.37,9.4,5.0,364.0,331.0,cereals ready-to-eat,,unknown,unmatched
171670,cereals,"cereals, corn grits, yellow, regular and quick, unenriched, dry",371.0,8.8,1.2,79.6,0.64,1.6,1.0,137.0,73.0,cereals,,unknown,unmatched
171671,cereals,"cereals, corn grits, white, regular and quick, enriched, cooked with water, with salt",71.0,1.71,0.46,14.76,0.12,0.8,223.0,27.0,20.0,cereals,,unknown,unmatched
171672,cereals,"cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt",65.0,1.23,0.39,13.86,0.09,0.7,2.0,22.0,14.0,cereals,,unknown,unmatched
171673,cereals,"cereals, corn grits, yellow, regular, quick, enriched, cooked with water, with salt",65.0,1.23,0.39,13.86,0.09,0.7,223.0,22.0,14.0,cereals,,unknown,unmatched
171674,cereals,"cereals, malt-o-meal, chocolate, dry",363.0,10.6,0.82,79.55,16.63,2.8,10.0,245.0,124.0,cereals,,unknown,unmatched
171675,cereals,"cereals, oats, regular and quick and instant, unenriched, cooked with water (includes boiling and microwaving), with salt",71.0,2.54,1.52,12.0,0.27,1.7,71.0,70.0,77.0,cereals,,unknown,unmatched
171676,cereals,"cereals, wheatena, cooked with water, with salt",59.0,2.03,0.45,11.74,0.25,2.0,238.0,77.0,60.0,cereals,,unknown,unmatched
